n_subject,r,sigma,effect,power
600,0.9,1.5,Recovered Interaction,32.6
600,0.9,2,True Main Effect,28.599999999999998
600,0.9,2,Recovered Main Effect,23
600,0.9,2,True Interaction,29.4
600,0.9,2,Recovered Interaction,26
600,0.95,0.5,True Main Effect,100
600,0.95,0.5,Recovered Main Effect,87.2
600,0.95,0.5,True Interaction,100
600,0.95,0.5,Recovered Interaction,84.6
600,0.95,1,True Main Effect,71.6
600,0.95,1,Recovered Main Effect,62.8
600,0.95,1,True Interaction,74
600,0.95,1,Recovered Interaction,55.400000000000006
600,0.95,1.5,True Main Effect,44
600,0.95,1.5,Recovered Main Effect,33.6
600,0.95,1.5,True Interaction,41
600,0.95,1.5,Recovered Interaction,35
600,0.95,2,True Main Effect,29.799999999999997
600,0.95,2,Recovered Main Effect,23.799999999999997
600,0.95,2,True Interaction,29.799999999999997
600,0.95,2,Recovered Interaction,25.6
