,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.125,0.9157055454243372,0.08637656399376784,0.7595019560774603,0.8527546240695456,0.9094367983504932,0.9690785065386595,1.0985054676093544,0.0029600684251243235
a_subj.126,2.8679636314929615,0.538923382488797,1.525514914662124,2.6204810146962787,2.9321241557162785,3.217273159201073,3.814005024102742,0.04131102207610653
a_subj.128,2.2588922885381053,0.31853148949918325,1.6535762272465957,2.0299878373801166,2.2561342058299187,2.4793909704397343,2.889403657107131,0.014458248177421518
a_subj.129,2.343831544620895,0.48183283656442316,1.4680077935520286,1.9396909527816582,2.4000804974597187,2.708124414519271,3.2308565788092105,0.02968119580266289
a_subj.130,3.7084721629474173,0.4564306458226889,2.8137468283988607,3.3949405259639507,3.7242792789556196,4.017193910385473,4.578765273360766,0.02598898218185362
a_subj.131,2.83272733518413,0.3312591406326029,2.2129672043647552,2.6107426781162038,2.826755728426165,3.0538873245187106,3.5213140458264807,0.014185261166264401
a_subj.132,2.2867787217074906,0.35635783709735136,1.6021244214417387,2.030090489055474,2.2789064863948636,2.5234569732673675,3.019996965761993,0.0192441966307842
a_subj.133,2.382660532551061,0.32861671461379277,1.7356111022878657,2.152666910654665,2.3844183707578166,2.6043480656841114,3.063799828092245,0.015789691479175652
a_subj.134,2.536001030335653,0.3551590026944112,1.8731245459290413,2.3008047541058927,2.5087319704403734,2.7601940407904855,3.288222761121661,0.0180039082407051
a_subj.135,2.1359295741003557,0.3156964895323855,1.5892623591807298,1.9181731868139418,2.1121267218339916,2.330212158209751,2.833381179734491,0.016060595431749626
a_subj.136,1.831569219171923,0.3423635767162973,1.1323157091642395,1.604850585674575,1.8390465366091273,2.0619759385340246,2.5080531164072353,0.02048782955231108
a_subj.137,0.868478751121669,0.08533016446748463,0.723050881250789,0.8086767522463931,0.8619773734296409,0.9195015364339512,1.0496203985365309,0.0024712043242473844
a_subj.138,1.9623998395830722,0.28571243328876544,1.4553982240312764,1.7584023053086615,1.9484144044457887,2.1578838329541927,2.545683270632419,0.0154864579779414
a_subj.139,2.3547763105637256,0.32896744862849764,1.7039590931275503,2.132363102266739,2.3537944750702486,2.5700009498530925,3.01283476390433,0.016503686236210086
a_subj.142,2.6225939057694982,0.35649598708026076,1.9809796198757703,2.3742658222913535,2.6172522318030174,2.8688499810579997,3.3442112357227574,0.01754597752767819
a_subj.143,3.5178677602932065,0.4347448988389431,2.6941761002048343,3.2215604176341177,3.509010046930113,3.792857050081304,4.408495365392448,0.023150839390653218
a_subj.144,2.938374276072544,0.3686508643466439,2.1943223202454076,2.6823566116461977,2.940873265813262,3.185164135548417,3.694005429702292,0.01861650452580231
a_subj.145,2.5913745798543024,0.4202489901529291,1.8231097626825994,2.3268357711935366,2.5750792815166013,2.8355644315102477,3.4898118878880497,0.02340256097258982
a_subj.146,1.1350344873738791,0.13585933842543796,0.9317217413608687,1.0477296334442308,1.1211036539707884,1.2012624702374661,1.4309381903817453,0.006965473553193465
a_subj.147,2.2262123214710865,0.26278306795677187,1.777024342833352,2.0375147864285874,2.2009158677098077,2.400759007398271,2.781642531033165,0.009915229684476617
a_subj.148,2.1864557418734694,0.32757498165625454,1.5256168987253031,1.9712726764059674,2.18079502192812,2.404971432251938,2.837246887768563,0.016241587585199
a_subj.149,3.5715544891518616,0.4246034096036729,2.7621321579376126,3.2808654973511264,3.5755086829715044,3.856921067831908,4.420909304480849,0.020548381197470024
a_subj.150,2.3010281213155768,0.29327494640286833,1.779723802018585,2.1042753504473275,2.291378215881835,2.4866865275872563,2.959140110400998,0.01113874675503191
a_subj.151,2.1248486348676336,0.2988533138731429,1.5886813491947471,1.9114013002533694,2.106815147018703,2.301498670052656,2.7770719234528456,0.014051280458816479
a_subj.152,1.8759566160920194,0.2863851044167715,1.3629656946364532,1.6693404794360087,1.865127602760763,2.066217267909225,2.460487324824507,0.014766679217805143
a_subj.153,3.0993930414219393,0.37785859893632645,2.3528693709320603,2.8542744298066642,3.0920174803150395,3.3424189829864046,3.8665549890406155,0.019791350588921678
a_subj.154,2.634268519550789,0.3356893955683531,2.0144023105559423,2.406251487275856,2.6200950088132293,2.8525299546151333,3.300534928553403,0.01527085609918584
a_subj.155,2.3725843539488265,0.3109122473460755,1.7877911950514798,2.151267827876568,2.3571350554182464,2.5834803142112577,3.0302601927858865,0.015569089454983146
a_subj.156,2.563307451987796,0.3900989034517438,1.8230880961004332,2.301249706287561,2.5448539659938634,2.8074965494853306,3.3873983449669387,0.023599268780635473
a_subj.157,3.598266946940464,0.4055155366381886,2.7910005965338764,3.3396358313143453,3.601217124362031,3.8605265622157163,4.3944219757649785,0.019159645786406523
a_subj.158,3.6070596117192393,0.41781880825373136,2.823908151000719,3.313409031596373,3.6022997645917867,3.8913214389590456,4.4659820344838135,0.02086642957387667
a_subj.159,2.9800510755010503,0.36012705474218615,2.3111224170360494,2.722264745928973,2.979049509976133,3.2194859016382424,3.71936768608198,0.01758129855540156
a_subj.160,2.5339429774912983,0.38777121107492213,1.7709284098903817,2.286979171501076,2.5358590150376905,2.767174759276915,3.3261744835765175,0.021928910979528694
a_subj.161,2.472665963855036,0.3483422104497201,1.7974383115775066,2.244301038631959,2.4678102029706377,2.7055423612642646,3.186806794408299,0.017645076112998676
a_subj.162,2.483400376235637,0.3107517710904533,1.9095749972121339,2.2716544138238626,2.4628839691269424,2.6808241996426525,3.1104004516964623,0.013892459277097629
a_subj.164,3.0139239473238546,0.4256262548371524,2.2047813211178324,2.7158868552592734,3.01674721698966,3.293659551617262,3.8552776542344773,0.024250792236656615
a_subj.165,2.389987794388164,0.3343032652152519,1.7747595059622299,2.152258176004441,2.372698053535413,2.597565532318952,3.0836286977668093,0.016644433415500922
a_subj.166,3.625931246273159,0.43434769839412424,2.7693582847552816,3.343251082497404,3.6313743356689936,3.921149141379508,4.457951937683669,0.022382959131563053
a_subj.167,3.7563494553980648,0.4639687307716767,2.935271610374925,3.4186361070350832,3.73401259533782,4.0752334796577365,4.690978342679675,0.02523875835921769
a_subj.168,2.36521905696071,0.3292285354922108,1.7316171990287934,2.135365499421412,2.3562565501593693,2.5950987804640717,3.024512204279685,0.016521145533427983
a_subj.169,2.299114131788909,0.35750471762375474,1.598550707020576,2.0555532741560265,2.303623608010479,2.5389312747310173,2.989036474246473,0.019165935009121317
a_subj.170,1.5360483283947208,0.5275748675077405,1.0562290074506058,1.2128484411674814,1.3169032975023105,1.5303480844037498,2.852487891280355,0.046861848849214086
a_subj.171,2.295175084072286,0.4080647686599458,1.5301717460681727,2.006198386517752,2.2714770331518124,2.586010430206967,3.099587765686078,0.027440123521743354
a_subj.172,3.1833344888800443,0.30284070340708175,2.612766122670705,2.967923555673842,3.175364650029065,3.3923584336568084,3.7996328460644797,0.009934768655534767
a_subj.173,1.9747286753869078,0.34967476828179345,1.3152752823492753,1.7365028770794884,1.960195410793979,2.2007295213525833,2.6986042083547095,0.02202058666132873
a_subj.174,2.0177797185731006,0.29045859992296225,1.4798007721858766,1.8133590192362286,2.014678036282989,2.221255340668257,2.5716969495730018,0.015731211539988594
a_subj.175,2.294618255055953,0.30264544395576626,1.7346164049507735,2.0752244390222647,2.280947902492647,2.4862287745585037,2.918807031742743,0.014326801179207291
a_subj.177,3.0038325686015597,0.39346939467823083,2.2418924709704524,2.7330709134067233,2.991424831356112,3.2524000569762337,3.85953591690127,0.019767841012634402
a_subj.178,0.923855467911701,0.10166931808351017,0.7434356221893634,0.8545980500888493,0.918863271246673,0.9870996179248441,1.131642980955302,0.003579087089588979
a_subj.179,2.291106587533549,0.32500578650114686,1.653629709053477,2.072722517767916,2.3059541388999354,2.5001538696882917,2.935535521791642,0.015226333554926924
a_subj.180,3.3263581748342768,0.4479534351190927,2.452916837982181,3.0244403314452994,3.3227660098346115,3.6291528567194993,4.206427456450839,0.026218458609322377
a_subj.181,2.421899417955895,0.38212707780850963,1.6944816124316788,2.1529296046289916,2.440021894915745,2.686093023722638,3.153634160452815,0.019713269361187807
a_subj.182,2.1449056302969347,0.2827961866918943,1.6422587995816624,1.9523947659889382,2.1400939279771527,2.326555096728403,2.7511246682241532,0.011926418766320645
a_subj.183,2.0750852306514003,0.3186577614412321,1.5079882023714997,1.8540076209466934,2.0709771033637696,2.2673631638555527,2.7526047742402096,0.016614082428575802
a_subj.184,2.689105467827738,0.4379074233109907,1.8703943047882605,2.385024786858354,2.6708538149814234,2.963104782657424,3.605562407634992,0.02773837725777752
a_subj.185,1.8455900699879615,0.32691742670560986,1.2546405743418825,1.6164676244223712,1.8341281766170074,2.0544540482886644,2.5355253499083137,0.019394692309845273
