,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.81,1.9026872176466787,0.44491884657623404,1.2265305227568783,1.5584925176340456,1.8433755996695107,2.1921439844153796,2.884734614372663,0.01080262346935809
a_subj.83,2.127834093071258,0.44817245718788495,1.2429796067372831,1.8254872272008804,2.142139422518946,2.432293048831017,2.998737219845733,0.012160288774012784
a_subj.84,2.7226618613926052,0.43757276386525623,1.9376127254838726,2.417615396307784,2.693425867478321,3.0134503475097327,3.645042530803072,0.008830358545285
a_subj.85,2.677745978923072,0.5247317088375486,1.768948171827907,2.2970352079636567,2.643178716011127,3.0131656344833204,3.8070092549450347,0.014656646824178795
a_subj.86,1.9343789802996973,0.5021854008696858,1.2678609314162161,1.5385895189588954,1.8016023522439286,2.2757949373381727,3.065688452606116,0.013754206637236286
a_subj.88,2.7819415114458907,0.4744229922756598,1.9657285908634914,2.447816838405907,2.738900876372746,3.078592161397981,3.8001028472491782,0.011360911956482124
a_subj.89,3.175171028384309,0.577357533801827,2.1132831869598845,2.7737561435480487,3.155609755016525,3.5474238396062527,4.392211386808633,0.015013553069069716
a_subj.90,2.476860760648285,0.43726286436367656,1.6883952597631315,2.162090716432989,2.447339603715553,2.761517681731894,3.377333890770668,0.009875897774103835
a_subj.91,2.9009489569784384,0.5207335951255497,1.9739552810084031,2.5328259976873957,2.872875269874717,3.243687152444861,3.979416890823583,0.014286058492765569
a_subj.92,1.441907358578493,0.5941449901597534,0.9337728411013446,1.0787554571879696,1.1866385366181205,1.4599631984653083,2.994105519274028,0.03304577040875607
a_subj.93,1.8142256249357747,0.3580859534738624,1.3244751955779466,1.5555935146022208,1.7325890475569912,2.0013851082812915,2.7019609493589396,0.007428711581001756
a_subj.94,1.172930114693259,0.0970813323107562,0.9977606363749265,1.1054584205231919,1.1666243811092625,1.2339475814439582,1.3789888693120926,0.001195808584629005
a_subj.95,2.0850489639411753,0.3370863737794173,1.5332155193302395,1.8402304536523408,2.047576120730983,2.3012564983893644,2.8248055749131273,0.006029604044487687
a_subj.96,3.0311580866580585,0.5262879115699879,2.0548944123455986,2.6665215409094927,3.0075728044873054,3.3758183553381373,4.128491610253268,0.012830863890067679
