subj_idx,condition,congruency,response,rt
3,degraded,incongruent,1,0.6010999999996275
3,degraded,congruent,1,0.5437999999998138
3,degraded,congruent,1,0.5513000000007451
3,degraded,incongruent,1,0.6117000000001863
3,degraded,congruent,1,0.5317999999998138
3,degraded,incongruent,1,0.6946000000005588
3,degraded,incongruent,1,0.5887999999998137
3,degraded,incongruent,1,0.7292000000001863
3,degraded,congruent,1,0.6444000000003726
3,degraded,incongruent,1,0.6917000000001863
3,degraded,incongruent,1,0.6170999999996275
3,degraded,congruent,1,0.5679000000003726
3,degraded,incongruent,1,0.5761000000005588
3,degraded,congruent,1,0.5434000000003725
3,degraded,incongruent,1,0.8414000000003725
3,degraded,congruent,1,0.535
3,degraded,congruent,1,1.1045
3,degraded,congruent,1,1.0858999999994412
3,degraded,congruent,1,0.6666000000005587
3,degraded,incongruent,1,0.7859000000003725
3,degraded,congruent,1,0.611699999999255
3,degraded,congruent,1,0.6707000000001863
3,degraded,congruent,1,0.780800000000745
3,degraded,incongruent,1,0.5798999999994412
3,degraded,congruent,1,0.6115
3,degraded,congruent,1,0.5902000000001862
3,degraded,incongruent,1,0.6895
3,degraded,congruent,1,0.642
3,degraded,incongruent,1,0.6035
3,degraded,incongruent,1,0.6731000000005588
3,degraded,incongruent,1,0.6194000000003725
3,degraded,congruent,1,0.5395999999996275
3,degraded,congruent,1,0.46729999999981375
3,degraded,incongruent,1,0.9226000000005588
3,degraded,incongruent,1,0.5949000000003726
3,degraded,incongruent,1,0.651
3,degraded,congruent,1,0.6115
3,degraded,congruent,1,0.5439000000003725
3,degraded,congruent,1,0.5397999999998138
3,degraded,congruent,1,0.5577000000001863
3,degraded,incongruent,1,0.6255999999996275
3,degraded,congruent,1,0.5097999999998137
3,degraded,incongruent,1,0.623
3,degraded,congruent,1,0.7686000000005588
3,degraded,congruent,1,0.8118999999994412
3,degraded,incongruent,1,0.737699999999255
3,degraded,incongruent,1,0.6346000000005588
3,degraded,incongruent,1,0.6716999999992549
3,degraded,incongruent,1,0.801
3,degraded,incongruent,1,0.7036000000005588
3,degraded,congruent,1,0.6783999999994412
3,degraded,incongruent,1,0.9035
4,standard,congruent,1,0.5208999999761581
4,standard,incongruent,1,0.5261000000238418
4,standard,incongruent,1,0.5051000000238418
4,standard,congruent,1,0.4798000000119209
4,standard,incongruent,1,0.5221999999880791
4,standard,congruent,1,0.47590000003576277
4,standard,incongruent,1,0.4810999999642372
4,standard,incongruent,1,0.5096000000238419
4,standard,congruent,1,0.4723000000119209
4,standard,congruent,1,0.4305999999642372
4,standard,incongruent,1,0.4685
4,standard,congruent,1,0.4263000000119209
4,standard,incongruent,1,0.5815999999642372
4,standard,congruent,1,0.47210000002384184
4,standard,incongruent,1,0.5140999999642372
4,standard,congruent,1,0.44239999997615814
4,standard,congruent,1,0.5005
4,standard,congruent,1,0.426
4,standard,incongruent,1,0.5435
4,standard,incongruent,1,0.5074000000357628
4,standard,incongruent,1,0.6365999999642372
4,standard,congruent,1,0.4325
4,standard,incongruent,1,0.546699999988079
4,standard,congruent,1,0.4668000000119209
4,standard,congruent,1,0.46230000001192095
4,standard,incongruent,1,0.5223999999761582
4,standard,congruent,1,0.42119999998807905
