  dataset        a v_neutral t0_neutral   v_cued  t0_cued  penalty      fit     time   method
 cueing_DDM_subject221   4.3460   6.1752   0.3239   6.6364   0.3048   0.0000 -65.8877   0.0060       ML
 cueing_DDM_subject222   1.5520   2.8358   0.3305   5.1446   0.3273   0.0000 -58.0704   0.0060       ML
 cueing_DDM_subject223   1.3483   3.4782   0.3359   5.4449   0.3407   0.0000 -75.0332   0.0040       ML
 cueing_DDM_subject224   1.2498   3.8992   0.4483   3.3407   0.3299   0.0000 -63.3172   0.0060       ML
 cueing_DDM_subject225   3.9964   6.8713   0.2920   8.3325   0.2713   0.0000 -84.3890   0.0070       ML
 cueing_DDM_subject226   1.0351   3.5334   0.4601   4.5264   0.3793   0.0000 -80.2781   0.0060       ML
 cueing_DDM_subject227   1.2925   2.7556   0.3213   4.1167   0.3543   0.0000 -55.1187   0.0070       ML
 cueing_DDM_subject228   2.9206   5.6499   0.4423   7.3799   0.3895   0.0000 -79.8733   0.0060       ML
 cueing_DDM_subject229   3.7126   6.6721   0.2941   9.8389   0.2681   0.0000 -93.3326   0.0090       ML
 cueing_DDM_subject23   1.9800   7.2168   0.3851   6.2353   0.3146   0.0000 -97.5608   0.0060       ML
 cueing_DDM_subject230   1.5069   2.5950   0.3723   3.0874   0.3174   0.0000 -35.4375   0.0060       ML
 cueing_DDM_subject231   1.6517   2.8732   0.4280   3.9704   0.3673   0.0000 -45.9410   0.0060       ML
 cueing_DDM_subject232  10.0000   9.7776   0.1051  11.6948   0.1274   0.0000 -86.5751   0.0130       ML
 cueing_DDM_subject233   2.7157   6.6703   0.2874   8.2757   0.2604   0.0000 -94.7776   0.0050       ML
 cueing_DDM_subject234   1.0404   3.5391   0.3409   4.0444   0.3215   0.0000 -75.5592   0.0070       ML
 cueing_DDM_subject235   1.2777   3.1156   0.3168   3.0971   0.2202   0.0000 -50.2364   0.0040       ML
 cueing_DDM_subject236   9.9999  11.1484   0.1770  14.0289   0.2166   0.0000 -100.9895   0.0160       ML
 cueing_DDM_subject237   1.9795   2.3088   0.4082   2.3420   0.3324   0.0000  -6.4108   0.0060       ML
 cueing_DDM_subject238   1.7482   6.7118   0.3756   6.8516   0.2950   0.0000 -104.7027   0.0080       ML
 cueing_DDM_subject239  10.0000  10.7711   0.1049  13.9973   0.1369   0.0000 -97.9907   0.0150       ML
 cueing_DDM_subject24   1.4860   2.9310   0.4343   4.1433   0.4118   0.0000 -53.2203   0.0060       ML
 cueing_DDM_subject240   1.1158   2.7518   0.4199   4.1225   0.4057   0.0000 -61.8772   0.0060       ML
 cueing_DDM_subject241   1.0989   3.4302   0.4687   4.5851   0.4157   0.0000 -77.5887   0.0090       ML
 cueing_DDM_subject242   2.5843   8.7490   0.3436  10.8809   0.2866   0.0000 -121.2752   0.0100       ML
 cueing_DDM_subject244   1.4532   3.5731   0.3937   3.2211   0.3054   0.0000 -47.0360   0.0060       ML
 cueing_DDM_subject245   1.0050   3.7986   0.3623   4.4938   0.3096   0.0000 -84.4755   0.0080       ML
 cueing_DDM_subject246   1.3017   2.8512   0.4272   2.6426   0.3639   0.0000 -37.7801   0.0070       ML
 cueing_DDM_subject247   1.1819   1.9823   0.4384   2.8976   0.3939   0.0000 -31.5028   0.0050       ML
 cueing_DDM_subject248   1.9120   2.7643   0.5122   1.5981   0.2059   0.0000   0.7016   0.0050       ML
 cueing_DDM_subject249   2.2861   5.1170   0.3486   6.0573   0.3112   0.0000 -76.8218   0.0080       ML
 cueing_DDM_subject251   1.1312   2.3205   0.3715   2.7820   0.3136   0.0000 -40.1479   0.0090       ML
 cueing_DDM_subject252   1.2241   3.2480   0.3273   3.4297   0.2981   0.0000 -56.0074   0.0060       ML
 cueing_DDM_subject253   5.8967   9.9089   0.2237   9.8194   0.1478   0.0000 -94.4383   0.0080       ML
 cueing_DDM_subject254   1.2300   2.1220   0.3261   2.2350   0.2765   0.0000 -22.2063   0.0040       ML
 cueing_DDM_subject255   1.2442   2.6749   0.4003   3.0384   0.3641   0.0000 -41.6281   0.0050       ML
 cueing_DDM_subject256   1.2466   2.5489   0.3560   4.7410   0.3569   0.0000 -62.3807   0.0040       ML
 cueing_DDM_subject257   1.0558   5.2415   0.3559   3.7874   0.2646   0.0000 -87.2785   0.0060       ML
 cueing_DDM_subject258   3.6773   5.5138   0.4770   6.5595   0.3376   0.0000 -66.1080   0.0080       ML
 cueing_DDM_subject259   1.0839   2.8609   0.3274   3.3443   0.2998   0.0000 -54.6370   0.0070       ML
 cueing_DDM_subject26   1.5575   3.9964   0.4752   3.7298   0.3883   0.0000 -60.1127   0.0070       ML
 cueing_DDM_subject260   8.0931   8.0356   0.1642   6.4394   0.0000   0.0000 -54.7995   0.0080       ML
 cueing_DDM_subject261   0.9496   4.6032   0.3618   4.9304   0.3104   0.0000 -82.3477   0.0100       ML
 cueing_DDM_subject262   1.2013   4.4524   0.4121   6.5490   0.3787   0.0000 -98.3959   0.0050       ML
 cueing_DDM_subject263   2.5083   2.5223   0.2933   2.5005   0.2167   0.0000  -3.0193   0.0060       ML
 cueing_DDM_subject264   5.0491   7.1965   0.2245   9.0462   0.2359   0.0000 -82.3004   0.0070       ML
 cueing_DDM_subject265   1.1343   2.4854   0.3428   4.5500   0.2943   0.0000 -62.3055   0.0070       ML
 cueing_DDM_subject266   1.8425   3.7472   0.3232   5.8083   0.3540   0.0000 -69.3282   0.0050       ML
 cueing_DDM_subject267   1.6970   2.6388   0.3059   2.9073   0.3164   0.0000 -27.9738   0.0050       ML
 cueing_DDM_subject268   4.3674   6.5387   0.2176   8.8287   0.2283   0.0000 -80.1810   0.0060       ML
 cueing_DDM_subject269   1.1531   3.1443   0.4055   4.0032   0.3709   0.0000 -64.4622   0.0060       ML
 cueing_DDM_subject27   1.3822   3.2562   0.3131   5.3412   0.2922   0.0000 -72.5264   0.0070       ML
 cueing_DDM_subject270   1.0272   3.3746   0.3256   3.1902   0.2450   0.0000 -62.5397   0.0080       ML
 cueing_DDM_subject271   1.1873   3.9534   0.3478   2.7045   0.2828   0.0000 -59.0140   0.0080       ML
 cueing_DDM_subject272   1.3767   4.2271   0.3937   6.4458   0.3602   0.0000 -91.3561   0.0080       ML
 cueing_DDM_subject273   1.2320   4.1067   0.3748   3.5999   0.2759   0.0000 -69.6850   0.0080       ML
 cueing_DDM_subject275   1.1584   4.6757   0.4741   3.3020   0.3481   0.0000 -73.1498   0.0070       ML
 cueing_DDM_subject276   1.2946   4.2562   0.3833   3.3401   0.3049   0.0000 -64.5223   0.0040       ML
 cueing_DDM_subject277   1.9119   2.9274   0.3252   4.6315   0.3370   0.0000 -45.9500   0.0070       ML
 cueing_DDM_subject278   1.3992   2.6512   0.4191   5.7656   0.4673   0.0000 -65.6988   0.0080       ML
 cueing_DDM_subject279   1.2350   3.0844   0.3123   4.8032   0.3032   0.0000 -68.1719   0.0090       ML
 cueing_DDM_subject28   1.1772   2.0986   0.3556   2.1826   0.2967   0.0000 -25.3540   0.0070       ML
 cueing_DDM_subject281   2.1711   5.6653   0.3477   6.3918   0.2814   0.0000 -84.3027   0.0080       ML
 cueing_DDM_subject284   1.1639   2.5754   0.2305   4.4039   0.2445   0.0000 -61.0655   0.0230       ML
 cueing_DDM_subject285   1.9504   4.2645   0.3170   7.3158   0.2951   0.0000 -81.3814   0.0090       ML
 cueing_DDM_subject288   0.9849   2.2530   0.3031   4.1919   0.2929   0.0000 -62.4088   0.0080       ML
 cueing_DDM_subject289   3.2751   7.7392   0.3063   7.7609   0.2475   0.0000 -93.6738   0.0070       ML
 cueing_DDM_subject29   1.4773   2.6803   0.4058   4.1214   0.3202   0.0000 -46.6632   0.0050       ML
 cueing_DDM_subject290   1.2183   2.5761   0.3331   5.2882   0.3492   0.0000 -68.8090   0.0070       ML
 cueing_DDM_subject292   1.6196   3.4036   0.4327   2.8524   0.2318   0.0000 -39.2441   0.0060       ML
 cueing_DDM_subject293   1.6213   3.4736   0.4185   3.5613   0.3478   0.0000 -50.0373   0.0050       ML
 cueing_DDM_subject294   4.5177   6.5265   0.2261   6.7109   0.1682   0.0000 -67.6596   0.0060       ML
 cueing_DDM_subject295   1.2867   3.6451   0.3693   4.1083   0.3373   0.0000 -59.9106   0.0050       ML
 cueing_DDM_subject298   1.5223   4.2927   0.3770   5.6548   0.3135   0.0000 -80.6324   0.0070       ML
 cueing_DDM_subject299   1.0863   3.9317   0.3339   6.7597   0.3259   0.0000 -99.3292   0.0060       ML
 cueing_DDM_subject3   1.1888   2.4509   0.4279   3.4956   0.3932   0.0000 -49.7157   0.0070       ML
 cueing_DDM_subject300   1.1806   2.7699   0.2920   4.2415   0.2937   0.0000 -60.9090   0.0050       ML
 cueing_DDM_subject301   1.1519   4.4483   0.3690   6.6712   0.3481   0.0000 -102.3927   0.0050       ML
 cueing_DDM_subject303   2.3037   6.1165   0.3419   8.2306   0.3325   0.0000 -97.0454   0.0070       ML
 cueing_DDM_subject304   1.8188   6.3602   0.3706   7.4513   0.3386   0.0000 -104.8657   0.0080       ML
 cueing_DDM_subject305   9.9991  19.3895   0.1991  21.0121   0.1638   0.0000 -144.4278   0.0140       ML
 cueing_DDM_subject306  10.0000  10.8835   0.1005  11.2937   0.0732   0.0000 -89.7358   0.0110       ML
 cueing_DDM_subject307   1.5147   2.2201   0.3102   3.1844   0.2907   0.0000 -30.2078   0.0050       ML
