  dataset        a        v       t0  penalty      fit     time   method
 par_sim1238   1.7523   0.5936   0.5133   0.0000  54.6986   0.0030       ML
 par_sim1239   1.8357   0.9489   0.5550   0.0000  45.2655   0.0030       ML
 par_sim124   1.7372   1.2215   0.5677   0.0000  30.3261   0.0030       ML
 par_sim1240   1.0665   0.8711   0.3505   0.0000   7.8415   0.0030       ML
 par_sim1241   1.3282   1.0503   0.6848   0.0000  19.3154   0.0030       ML
 par_sim1242   1.0111   0.4847   0.5799   0.0000   7.6494   0.0030       ML
 par_sim1243   1.3963   1.5183   0.7167   0.0000   8.5483   0.0030       ML
 par_sim1244   1.4226   1.7219   0.5302   0.0000   1.9494   0.0030       ML
 par_sim1245   1.2594   0.8246   0.4447   0.0000  21.8715   0.0030       ML
 par_sim1246   1.3516   0.4962   0.4757   0.0000  33.9863   0.0020       ML
 par_sim1247   1.4723   0.9314   0.4451   0.0000  30.8952   0.0030       ML
 par_sim1248   1.4077   2.1821   0.6004   0.0000 -12.2324   0.0030       ML
 par_sim1249   1.6360   0.7970   0.4051   0.0000  40.7853   0.0030       ML
 par_sim125   1.0158   1.2011   0.6528   0.0000  -1.7082   0.0040       ML
 par_sim1250   1.0570   1.0254   0.4833   0.0000   6.4065   0.0030       ML
 par_sim1251   1.4431   1.4247   0.4616   0.0000  14.1378   0.0030       ML
 par_sim1252   1.7408   0.8741   0.6416   0.0000  43.6911   0.0020       ML
 par_sim1253   1.3697  -0.1155   0.5701   0.0000  41.2692   0.0030       ML
 par_sim1254   1.5337   1.7049   0.5180   0.0000   4.9847   0.0040       ML
 par_sim1255   1.3759   1.3204   0.5896   0.0000  13.3331   0.0040       ML
 par_sim1256   1.5396   1.0267   0.5852   0.0000  31.9338   0.0040       ML
 par_sim1257   1.7163   0.9379   0.4121   0.0000  41.4326   0.0030       ML
 par_sim1258   0.8297   0.7965   0.5003   0.0000 -13.7993   0.0040       ML
 par_sim1259   1.0858   1.6502   0.7880   0.0000  -9.3460   0.0030       ML
 par_sim126   1.2683   0.9888   0.4152   0.0000  18.3666   0.0030       ML
 par_sim1260   0.9564   0.0861   0.4505   0.0000   2.0140   0.0040       ML
 par_sim1261   1.3063   1.2506   0.5640   0.0000  13.0393   0.0030       ML
 par_sim1262   1.4288   0.8502   0.5423   0.0000  32.6549   0.0020       ML
 par_sim1263   1.1524   1.4347   0.5742   0.0000  -0.3434   0.0030       ML
 par_sim1264   1.2883   0.9517   0.4843   0.0000  21.6446   0.0030       ML
 par_sim1265   1.5640   0.6562   0.5472   0.0000  44.4692   0.0030       ML
 par_sim1266   1.2217   0.6112   0.4913   0.0000  24.0695   0.0030       ML
 par_sim1267   1.3274   1.3811   0.5212   0.0000   9.2112   0.0030       ML
 par_sim1268   1.1390   0.4283   0.4408   0.0000  19.9276   0.0040       ML
 par_sim1269   1.2089   1.6218   0.5444   0.0000  -2.3965   0.0040       ML
 par_sim127   1.4860   0.7852   0.8368   0.0000  34.9806   0.0020       ML
 par_sim1270   1.6007   1.0089   0.6126   0.0000  34.1060   0.0030       ML
 par_sim1271   1.2723   1.6933   0.4041   0.0000  -1.8429   0.0020       ML
 par_sim1272   1.3819   1.5552   0.4094   0.0000   6.4964   0.0030       ML
 par_sim1273   1.3760   1.1100   0.4754   0.0000  19.9543   0.0030       ML
 par_sim1274   0.5681   2.2575   0.5675   0.0000 -63.6004   0.0030       ML
 par_sim1275   1.4004   0.8160   0.4073   0.0000  30.5956   0.0020       ML
 par_sim1276   1.3323   0.6506   0.5667   0.0000  28.6052   0.0030       ML
 par_sim1277   1.5538   1.1948   0.5695   0.0000  24.0610   0.0350       ML
 par_sim1278   1.4361   1.0782   0.7155   0.0000  23.1271   0.0040       ML
 par_sim1279   1.3653   1.3152   0.7058   0.0000  13.5454   0.0030       ML
 par_sim128   1.5018   0.3806   0.6616   0.0000  46.6391   0.0030       ML
 par_sim1280   1.2485   0.7491   0.3978   0.0000  23.1502   0.0030       ML
 par_sim1281   1.4266   0.8712   0.4531   0.0000  30.8923   0.0020       ML
 par_sim1282   1.1454   0.6017   0.3800   0.0000  15.1323   0.0020       ML
 par_sim1283   1.4198   1.7167   0.4746   0.0000   2.1804   0.0040       ML
 par_sim1284   0.7504  -0.3186   0.3632   0.0000 -19.4855   0.0040       ML
 par_sim1285   1.0325   1.0974   0.5343   0.0000   0.7305   0.0040       ML
 par_sim1286   0.7664   1.6790   0.4894   0.0000 -33.7992   0.0050       ML
 par_sim1287   1.4923   0.1070   0.5332   0.0000  49.2874   0.0040       ML
 par_sim1288   1.4533   1.4360   0.5762   0.0000  13.7545   0.0080       ML
 par_sim1289   1.1050   1.3627   0.6702   0.0000  -0.9858   0.0040       ML
 par_sim129   1.2038   1.1426   0.4767   0.0000  10.4753   0.0030       ML
 par_sim1290   1.2312   1.2214   0.4918   0.0000   9.9280   0.0030       ML
 par_sim1291   1.3450   0.1755   0.2463   0.0000  39.6710   0.0030       ML
 par_sim1292   0.8931   0.5267   0.4035   0.0000  -1.6737   0.0040       ML
 par_sim1293   1.3582   1.0950   0.6844   0.0000  20.5546   0.0030       ML
 par_sim1294   1.4202   0.8110   0.4788   0.0000  31.4453   0.0030       ML
 par_sim1295   1.1246   0.9390   0.6129   0.0000   9.2163   0.0040       ML
 par_sim1296   1.8062   1.8434   0.5597   0.0000   7.7946   0.0030       ML
 par_sim1297   1.1656   1.2985   0.3548   0.0000   4.0005   0.0030       ML
 par_sim1298   1.5239   1.2770   0.6857   0.0000  21.2354   0.0030       ML
 par_sim1299   0.9818   0.5760   0.5233   0.0000   5.2164   0.0040       ML
 par_sim13   1.0772   0.3860   0.2314   0.0000  12.9671   0.0040       ML
 par_sim130   1.8122   1.0048   0.5949   0.0000  40.8995   0.0040       ML
 par_sim1300   1.1171  -0.0728   0.4474   0.0000  19.1738   0.0030       ML
 par_sim1301   1.0277   0.8165   0.6334   0.0000   5.2687   0.0040       ML
